amfi_code,sharpe_ratio
100016,-0.20151706755966936
100025,-0.5670947928476846
100033,1.093698743534631
101206,1.0272133278753697
101207,0.16266076928646786
101208,-0.8155673679088258
102885,0.817099337349437
102886,-0.2058316078547031
102887,0.6195175900829826
118632,1.0816591793457038
118633,0.6452074382933218
118634,0.4484340089089915
118635,0.6648569985490621
118636,-0.35662950751436784
119092,0.030784850954585916
119093,0.12961449795669325
119094,0.9982309868636403
119095,-0.07597357117478923
119120,-0.22657538662791568
119551,1.2082665673727178
119552,0.953279496866011
119598,0.9453082575156093
119599,-0.05718662582817995
120503,0.7979728586052844
120504,1.0265242847993006
120505,1.1801011976606495
120506,0.6488787755249528
120507,0.495723392953312
120841,0.4942725378672348
120842,0.07599984804658923
120843,1.3067439695428413
120844,-0.08874729621557288
125497,0.7757902498211205
125498,0.3006119210425479
148567,1.4482911703262604
148568,0.9262873467360141
148569,1.2349300257743292
149322,0.46403744922047735
149323,1.1321218524747252
149324,0.949795824661604
